tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua
23.0,21.0,7.51,8.02,0.0,0.0,0.0,0.0,52000.0,15600.0,1960.0,2.9,2.1,0.44,0.2,4.1,65.0,70.0,0.005,0.001,10.0,1.18,37.0,1.0
21.0,25.0,6.65,7.76,0.0,0.0,0.0,1.0,4000.0,500.0,280.0,5.6,0.84,0.54,0.41,3.3,70.0,13.0,0.005,0.001,0.1,5.0,40.5,1.0
16.0,13.0,10.88,9.18,0.0,0.0,0.0,0.0,24.0,11200.0,5000.0,21.5,4.4,0.43,0.42,5.5,30.0,20.0,0.005,1.0,30.49,0.15,32.0,1.0
24.0,20.0,4.53,7.84,1.0,0.0,1.0,1.0,81000.0,75000.0,18400.0,2.0,11.0,0.96,0.51,23.0,86.0,50.0,0.005,0.001,10.0,0.15,25.0,1.0
20.0,24.0,7.53,8.21,0.0,0.0,0.0,1.0,700.0,400.0,330.0,2.9,0.51,0.27,0.17,3.7,59.0,95.0,0.008,0.001,20.52,5.0,41.5,1.0
17.0,13.0,10.02,9.04,0.0,0.0,0.0,0.0,1.1,700.0,80.0,4.2,0.09,0.18,0.15,2.0,30.0,40.0,0.005,1.0,41.65,0.15,35.0,1.0
20.0,20.0,9.78,8.49,0.0,0.0,0.0,0.0,1000.0,800.0,850.0,2.0,0.33,0.38,0.2,2.2,77.0,34.0,0.005,0.001,10.0,0.15,41.0,1.0
12.2,10.0,6.33,8.7,0.0,0.0,0.0,0.0,600.0,600.0,360.0,10.5,3.2,1.7,1.1,4.0,76.0,90.0,0.005,0.001,8.22,0.15,37.0,1.0
12.0,13.0,9.41,8.67,0.0,0.0,0.0,0.0,300.0,300.0,150.0,6.6,0.56,0.56,0.55,2.3,66.0,75.0,0.005,0.001,19.25,0.15,36.0,1.0
20.0,23.0,5.8,7.47,0.0,0.0,0.0,1.0,1200.0,900.0,720.0,3.2,0.57,0.79,0.53,3.4,58.0,17.0,0.005,0.001,0.1,5.0,40.5,1.0
18.0,13.0,5.93,8.35,0.0,0.0,0.0,0.0,500.0,500.0,140.0,3.7,0.09,0.17,0.12,2.1,30.0,32.0,0.005,1.0,54.87,0.15,36.0,1.0
20.0,14.0,8.22,8.3,0.0,0.0,0.0,1.0,800.0,800.0,360.0,4.1,0.39,0.21,0.2,2.0,48.0,110.0,0.0,0.001,37.4,0.15,35.0,1.0
12.0,10.0,8.96,8.09,0.0,0.0,0.0,0.0,800.0,500.0,230.0,5.7,0.42,3.0,0.55,2.5,67.0,50.0,0.005,0.001,45.07,0.79,38.0,1.0
